year,change_type,pixel_count,percentage
2021,1_to_2,603,0.2412
2021,1_to_3,627,0.25079999999999997
2021,1_to_4,606,0.2424
2021,1_to_5,635,0.254
2021,2_to_1,648,0.2592
2021,2_to_3,605,0.242
2021,2_to_4,640,0.256
2021,2_to_5,590,0.23600000000000002
2021,3_to_1,601,0.2404
2021,3_to_2,617,0.24680000000000002
2021,3_to_4,630,0.252
2021,3_to_5,649,0.2596
2021,4_to_1,679,0.2716
2021,4_to_2,604,0.2416
2021,4_to_3,621,0.2484
2021,4_to_5,644,0.2576
2021,5_to_1,645,0.258
2021,5_to_2,607,0.24280000000000002
2021,5_to_3,622,0.24880000000000002
2021,5_to_4,627,0.25079999999999997
2022,1_to_2,627,0.25079999999999997
2022,1_to_3,640,0.256
2022,1_to_4,610,0.244
2022,1_to_5,651,0.2604
2022,2_to_1,571,0.2284
2022,2_to_3,628,0.2512
2022,2_to_4,608,0.24320000000000003
2022,2_to_5,646,0.2584
2022,3_to_1,606,0.2424
2022,3_to_2,623,0.24919999999999998
2022,3_to_4,612,0.24480000000000002
2022,3_to_5,669,0.2676
2022,4_to_1,592,0.23679999999999998
2022,4_to_2,676,0.2704
2022,4_to_3,649,0.2596
2022,4_to_5,668,0.2672
2022,5_to_1,581,0.23240000000000002
2022,5_to_2,604,0.2416
2022,5_to_3,618,0.24719999999999998
2022,5_to_4,621,0.2484
2023,1_to_2,610,0.244
2023,1_to_3,633,0.2532
2023,1_to_4,633,0.2532
2023,1_to_5,635,0.254
2023,2_to_1,662,0.26480000000000004
2023,2_to_3,598,0.2392
2023,2_to_4,586,0.23440000000000003
2023,2_to_5,615,0.246
2023,3_to_1,575,0.22999999999999998
2023,3_to_2,616,0.2464
2023,3_to_4,645,0.258
2023,3_to_5,645,0.258
2023,4_to_1,645,0.258
2023,4_to_2,636,0.25439999999999996
2023,4_to_3,600,0.24
2023,4_to_5,612,0.24480000000000002
2023,5_to_1,646,0.2584
2023,5_to_2,657,0.26280000000000003
2023,5_to_3,638,0.2552
2023,5_to_4,613,0.24520000000000003
2024,1_to_2,633,0.2532
2024,1_to_3,685,0.27399999999999997
2024,1_to_4,628,0.2512
2024,1_to_5,612,0.24480000000000002
2024,2_to_1,605,0.242
2024,2_to_3,630,0.252
2024,2_to_4,577,0.2308
2024,2_to_5,597,0.23879999999999998
2024,3_to_1,616,0.2464
2024,3_to_2,634,0.2536
2024,3_to_4,641,0.25639999999999996
2024,3_to_5,593,0.2372
2024,4_to_1,613,0.24520000000000003
2024,4_to_2,606,0.2424
2024,4_to_3,644,0.2576
2024,4_to_5,629,0.2516
2024,5_to_1,644,0.2576
2024,5_to_2,599,0.2396
2024,5_to_3,679,0.2716
2024,5_to_4,635,0.254
